,Symbol,Company Name
0,ADANIENT,Adani Enterprises Limited
1,TCS,Tata Consultancy Services Limited
2,HDFCBANK,HDFC Bank Limited
3,INFY,Infosys Limited
4,ICICIBANK,ICICI Bank Limited
5,HINDUNILVR,Hindustan Unilever Limited
6,SBIN,State Bank of India
7,HDFC,Housing Development Finance Corporation Limited
8,BHARTIARTL,Bharti Airtel Limited
9,RELIANCE,Reliance Industries Limited
10,LICI,Life Insurance Corporation Of India
11,ITC,ITC Limited
12,ATGL,Adani Total Gas Limited
13,BAJFINANCE,Bajaj Finance Limited
14,KOTAKBANK,Kotak Mahindra Bank Limited
15,ADANIGREEN,Adani Green Energy Limited
16,ASIANPAINT,Asian Paints Limited
17,LT,Larsen & Toubro Limited
18,ADANITRANS,Adani Transmission Limited
19,AXISBANK,Axis Bank Limited
20,HCLTECH,HCL Technologies Limited
21,DMART,Avenue Supermarts Limited
22,MARUTI,Maruti Suzuki India Limited
23,BAJAJFINSV,Bajaj Finserv Limited
24,SUNPHARMA,Sun Pharmaceutical Industries Limited
25,TITAN,Titan Company Limited
26,WIPRO,Wipro Limited
27,ULTRACEMCO,UltraTech Cement Limited
28,JSWSTEEL,JSW Steel Limited
29,ONGC,Oil & Natural Gas Corporation Limited
30,ADANIPORTS,Adani Ports and Special Economic Zone Limited
31,NTPC,NTPC Limited
32,M&M,Mahindra & Mahindra Limited
33,POWERGRID,Power Grid Corporation of India Limited
34,COALINDIA,Coal India Limited
35,TATASTEEL,Tata Steel Limited
36,HINDZINC,Hindustan Zinc Limited
37,PIDILITIND,Pidilite Industries Limited
38,LTIM,LTIMindtree Limited
39,TATAMOTORS,Tata Motors Limited
40,SBILIFE,SBI Life Insurance Company Limited
41,HDFCLIFE,HDFC Life Insurance Company Limited
42,ADANIPOWER,Adani Power Limited
43,VEDL,Vedanta Limited
44,GRASIM,Grasim Industries Limited
45,IOC,Indian Oil Corporation Limited
46,HINDALCO,Hindalco Industries Limited
47,AMBUJACEM,Ambuja Cements Limited
48,BRITANNIA,Britannia Industries Limited
49,BAJAJ-AUTO,Bajaj Auto Limited
50,SIEMENS,Siemens Limited
51,DABUR,Dabur India Limited
52,TECHM,Tech Mahindra Limited
53,BANKBARODA,Bank of Baroda
54,INDUSINDBK,IndusInd Bank Limited
55,DLF,DLF Limited
56,DIVISLAB,Divi's Laboratories Limited
57,GODREJCP,Godrej Consumer Products Limited
58,EICHERMOT,Eicher Motors Limited
59,CIPLA,Cipla Limited
60,VBL,Varun Beverages Limited
61,HAL,Hindustan Aeronautics Limited
62,SHREECEM,SHREE CEMENT LIMITED
63,AWL,Adani Wilmar Limited
64,INDIGO,InterGlobe Aviation Limited
65,SBICARD,SBI Cards and Payment Services Limited
66,BEL,Bharat Electronics Limited
67,BPCL,Bharat Petroleum Corporation Limited
68,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
69,DRREDDY,Dr. Reddy's Laboratories Limited
70,HAVELLS,Havells India Limited
71,SRF,SRF Limited
72,TATAPOWER,Tata Power Company Limited
73,MARICO,Marico Limited
74,ICICIPRULI,ICICI Prudential Life Insurance Company Limited
75,APOLLOHOSP,Apollo Hospitals Enterprise Limited
76,BAJAJHLDNG,Bajaj Holdings & Investment Limited
77,MCDOWELL-N,United Spirits Limited
78,GAIL,GAIL (India) Limited
79,PNB,Punjab National Bank
80,ICICIGI,ICICI Lombard General Insurance Company Limited
81,IOB,Indian Overseas Bank
82,CANBK,Canara Bank
83,CHOLAFIN,Cholamandalam Investment and Finance Company Limited
84,YESBANK,Yes Bank Limited
85,JINDALSTEL,Jindal Steel & Power Limited
86,IDBI,IDBI Bank Limited
87,ABB,ABB India Limited
88,BERGEPAINT,Berger Paints (I) Limited
89,UNIONBANK,Union Bank of India
90,HEROMOTOCO,Hero MotoCorp Limited
91,UPL,UPL Limited
92,TIINDIA,Tube Investments of India Limited
93,LODHA,Macrotech Developers Limited
94,TORNTPHARM,Torrent Pharmaceuticals Limited
95,PIIND,PI Industries Limited
96,TVSMOTOR,TVS Motor Company Limited
97,INDUSTOWER,Indus Towers Limited
98,IRCTC,Indian Railway Catering And Tourism Corporation Limited
99,BOSCHLTD,Bosch Limited
100,NAUKRI,Info Edge (India) Limited
101,ZOMATO,Zomato Limited
102,MOTHERSON,Samvardhana Motherson International Limited
103,TRENT,Trent Limited
104,PAGEIND,Page Industries Limited
105,JSWENERGY,JSW Energy Limited
106,PGHH,Procter & Gamble Hygiene and Health Care Limited
107,HDFCAMC,HDFC Asset Management Company Limited
108,ACC,ACC Limited
109,INDHOTEL,The Indian Hotels Company Limited
110,CONCOR,Container Corporation of India Limited
111,UBL,United Breweries Limited
112,NYKAA,FSN E-Commerce Ventures Limited
113,AUBANK,AU Small Finance Bank Limited
114,PATANJALI,Patanjali Foods Limited
115,SCHAEFFLER,Schaeffler India Limited
116,MUTHOOTFIN,Muthoot Finance Limited
117,MAXHEALTH,Max Healthcare Institute Limited
118,IRFC,Indian Railway Finance Corporation Limited
119,ZYDUSLIFE,Zydus Lifesciences Limited
120,ASHOKLEY,Ashok Leyland Limited
121,COLPAL,Colgate Palmolive (India) Limited
122,CGPOWER,CG Power and Industrial Solutions Limited
123,BALKRISIND,Balkrishna Industries Limited
124,BHARATFORG,Bharat Forge Limited
125,NHPC,NHPC Limited
126,SOLARINDS,Solar Industries India Limited
127,ASTRAL,Astral Limited
128,TATAELXSI,Tata Elxsi Limited
129,LTTS,L&T Technology Services Limited
130,POLYCAB,Polycab India Limited
131,CUMMINSIND,Cummins India Limited
132,BANDHANBNK,Bandhan Bank Limited
133,UCOBANK,UCO Bank
134,MRF,MRF Limited
135,PFC,Power Finance Corporation Limited
136,SHRIRAMFIN,Shriram Finance Limited
137,MPHASIS,MphasiS Limited
138,HONAUT,Honeywell Automation India Limited
139,IDFCFIRSTB,IDFC First Bank Limited
140,TATACOMM,Tata Communications Limited
141,ABCAPITAL,Aditya Birla Capital Limited
142,BANKINDIA,Bank of India
143,NMDC,NMDC Limited
144,ALKEM,Alkem Laboratories Limited
145,INDIANB,Indian Bank
146,DALBHARAT,Dalmia Bharat Limited
147,PAYTM,One 97 Communications Limited
148,FLUOROCHEM,Gujarat Fluorochemicals Limited
149,SAIL,Steel Authority of India Limited
150,GODREJPROP,Godrej Properties Limited
151,JUBLFOOD,Jubilant Foodworks Limited
152,GUJGASLTD,Gujarat Gas Limited
153,LUPIN,Lupin Limited
154,HINDPETRO,Hindustan Petroleum Corporation Limited
155,STARHEALTH,Star Health and Allied Insurance Company Limited
156,MANYAVAR,Vedant Fashions Limited
157,PETRONET,Petronet LNG Limited
158,OBEROIRLTY,Oberoi Realty Limited
159,BIOCON,Biocon Limited
160,GICRE,General Insurance Corporation of India
161,SUPREMEIND,Supreme Industries Limited
162,RECLTD,REC Limited
163,APLAPOLLO,APL Apollo Tubes Limited
164,UNOMINDA,UNO Minda Limited
165,PERSISTENT,Persistent Systems Limited
166,FEDERALBNK,The Federal Bank  Limited
167,LINDEINDIA,Linde India Limited
168,M&MFIN,Mahindra & Mahindra Financial Services Limited
169,IGL,Indraprastha Gas Limited
170,ESCORTS,Escorts Kubota Limited
171,CENTRALBK,Central Bank of India
172,BHEL,Bharat Heavy Electricals Limited
173,ABFRL,Aditya Birla Fashion and Retail Limited
174,DEEPAKNTR,Deepak Nitrite Limited
175,VOLTAS,Voltas Limited
176,OFSS,Oracle Financial Services Software Limited
177,COROMANDEL,Coromandel International Limited
178,GLAND,Gland Pharma Limited
179,MSUMI,Motherson Sumi Wiring India Limited
180,AUROPHARMA,Aurobindo Pharma Limited
181,SUNDARMFIN,Sundaram Finance Limited
182,PHOENIXLTD,The Phoenix Mills Limited
183,IDEA,Vodafone Idea Limited
184,3MINDIA,3M India Limited
185,SONACOMS,Sona BLW Precision Forgings Limited
186,ATUL,Atul Limited
187,SUMICHEM,Sumitomo Chemical India Limited
188,AIAENG,AIA Engineering Limited
189,FACT,Fertilizers and Chemicals Travancore Limited
190,DELHIVERY,Delhivery Limited
